test_type,gender,age_min,age_max,run_min,run_max,score
run_km,female,22,24,19:01,19:10,12
run_km,female,22,24,19:11,19:20,10
run_km,female,22,24,19:21,19:30,8
run_km,female,22,24,19:31,19:40,6
run_km,female,22,24,19:41,19:50,4
run_km,female,22,24,19:51,20:00,2
run_km,female,22,24,20:01,20:10,1
run_km,female,22,24,20:11,20:20,0
run_km,female,22,24,20:21,20:30,0
run_km,female,22,24,20:31,20:40,0
run_km,female,22,24,20:41,20:50,0
run_km,female,22,24,20:51,21:00,0
run_km,female,22,24,21:01,21:10,0
run_km,female,22,24,21:11,21:20,0
run_km,female,22,24,21:21,21:30,0
run_km,female,22,24,21:31,21:40,0
run_km,male,25,27,0:00,10:00,43
run_km,male,25,27,10:01,10:10,42
run_km,male,25,27,10:11,10:20,41
run_km,male,25,27,10:21,10:30,40
run_km,male,25,27,10:31,10:40,39
run_km,male,25,27,10:41,10:50,38
run_km,male,25,27,10:51,11:00,38
run_km,male,25,27,11:01,11:10,37
run_km,male,25,27,11:11,11:20,37
run_km,male,25,27,11:21,11:30,36
run_km,male,25,27,11:31,11:40,36
run_km,male,25,27,11:41,11:50,35
run_km,male,25,27,11:51,12:00,35
run_km,male,25,27,12:01,12:10,34
run_km,male,25,27,12:11,12:20,33
run_km,male,25,27,12:21,12:30,32
run_km,male,25,27,12:31,12:40,31
run_km,male,25,27,12:41,12:50,30
run_km,male,25,27,12:51,13:00,29
run_km,male,25,27,13:01,13:10,28
run_km,male,25,27,13:11,13:20,27
run_km,male,25,27,13:21,13:30,26
run_km,male,25,27,13:31,13:40,25
run_km,male,25,27,13:41,13:50,24
run_km,male,25,27,13:51,14:00,23
run_km,male,25,27,14:01,14:10,22
run_km,male,25,27,14:11,14:20,21
run_km,male,25,27,14:21,14:30,20
run_km,male,25,27,14:31,14:40,19
run_km,male,25,27,14:41,14:50,18
run_km,male,25,27,14:51,15:00,16
run_km,male,25,27,15:01,15:10,14
run_km,male,25,27,15:11,15:20,12
run_km,male,25,27,15:21,15:30,10
run_km,male,25,27,15:31,15:40,8
run_km,male,25,27,15:41,15:50,6
run_km,male,25,27,15:51,16:00,4
run_km,male,25,27,16:01,16:10,2
run_km,male,25,27,16:11,16:20,1
run_km,male,25,27,16:21,16:30,0
run_km,male,25,27,16:31,16:40,0
run_km,male,25,27,16:41,16:50,0
run_km,male,25,27,16:51,17:00,0
run_km,male,25,27,17:01,17:10,0
run_km,male,25,27,17:11,17:20,0
run_km,male,25,27,17:21,17:30,0
run_km,male,25,27,17:31,17:40,0
run_km,male,25,27,17:41,17:50,0
run_km,male,25,27,17:51,18:00,0
run_km,male,25,27,18:01,18:10,0
run_km,male,25,27,18:11,18:20,0
run_km,male,25,27,0:00,8:30,50
run_km,male,25,27,8:31,8:40,50
run_km,male,25,27,8:41,8:50,50
run_km,male,25,27,8:51,9:00,49
run_km,male,25,27,9:01,9:10,48
run_km,male,25,27,9:11,9:20,47
run_km,male,25,27,9:21,9:30,46
run_km,male,25,27,9:31,9:40,45
run_km,male,25,27,9:41,9:50,44
run_km,female,25,27,0:00,10:00,50
run_km,female,25,27,10:01,10:10,50
run_km,female,25,27,10:11,10:20,50
run_km,female,25,27,10:21,10:30,50
run_km,female,25,27,10:31,10:40,49
run_km,female,25,27,10:41,10:50,48
run_km,female,25,27,10:51,11:00,47
run_km,female,25,27,11:01,11:10,46
run_km,female,25,27,11:11,11:20,46
run_km,female,25,27,11:21,11:30,45
run_km,female,25,27,11:31,11:40,45
run_km,female,25,27,11:41,11:50,44
run_km,female,25,27,11:51,12:00,44
run_km,female,25,27,12:01,12:10,43
run_km,female,25,27,12:11,12:20,43
run_km,female,25,27,12:21,12:30,42
run_km,female,25,27,12:31,12:40,42
run_km,female,25,27,12:41,12:50,41
run_km,female,25,27,12:51,13:00,41
run_km,female,25,27,13:01,13:10,39
